elapsed_sec,pending,active,idle,max,acquire_max_ms
0,0.0,0.0,10.0,10.0,0.0
1,0.0,0.0,10.0,10.0,78.0
3,9.0,10.0,0.0,10.0,78.0
4,0.0,0.0,10.0,10.0,78.0
5,0.0,0.0,10.0,10.0,78.0
6,0.0,0.0,10.0,10.0,78.0
7,0.0,0.0,10.0,10.0,78.0
8,0.0,0.0,10.0,10.0,78.0
9,0.0,0.0,10.0,10.0,78.0
10,0.0,0.0,10.0,10.0,78.0
11,0.0,0.0,10.0,10.0,78.0
12,1.0,10.0,0.0,10.0,78.0
13,0.0,0.0,10.0,10.0,78.0
14,0.0,0.0,10.0,10.0,78.0
15,0.0,0.0,10.0,10.0,78.0
16,0.0,0.0,10.0,10.0,78.0
17,0.0,0.0,10.0,10.0,78.0
18,0.0,0.0,10.0,10.0,78.0
19,0.0,0.0,10.0,10.0,78.0
20,0.0,0.0,10.0,10.0,78.0
21,0.0,0.0,10.0,10.0,78.0
22,0.0,0.0,10.0,10.0,78.0
23,0.0,0.0,10.0,10.0,78.0
24,0.0,0.0,10.0,10.0,78.0
25,0.0,0.0,10.0,10.0,78.0
27,8.0,9.0,1.0,10.0,78.0
28,0.0,0.0,10.0,10.0,78.0
29,0.0,0.0,10.0,10.0,78.0
30,0.0,0.0,10.0,10.0,78.0
31,0.0,0.0,10.0,10.0,78.0
32,0.0,0.0,10.0,10.0,78.0
33,0.0,0.0,10.0,10.0,78.0
34,0.0,0.0,10.0,10.0,78.0
35,0.0,0.0,10.0,10.0,78.0
36,0.0,0.0,10.0,10.0,78.0
37,0.0,0.0,10.0,10.0,78.0
38,0.0,0.0,10.0,10.0,78.0
39,0.0,0.0,10.0,10.0,78.0
40,0.0,0.0,10.0,10.0,78.0
41,10.0,10.0,0.0,10.0,78.0
42,0.0,0.0,10.0,10.0,78.0
43,0.0,0.0,10.0,10.0,78.0
44,0.0,0.0,10.0,10.0,78.0
45,0.0,0.0,10.0,10.0,78.0
46,0.0,0.0,10.0,10.0,78.0
47,0.0,0.0,10.0,10.0,78.0
48,0.0,0.0,10.0,10.0,78.0
50,8.0,9.0,1.0,10.0,78.0
51,0.0,0.0,10.0,10.0,78.0
52,0.0,0.0,10.0,10.0,78.0
53,0.0,0.0,10.0,10.0,78.0
54,0.0,0.0,10.0,10.0,78.0
55,0.0,10.0,0.0,10.0,78.0
56,0.0,0.0,10.0,10.0,78.0
57,0.0,0.0,10.0,10.0,78.0
58,0.0,0.0,10.0,10.0,78.0
59,0.0,0.0,10.0,10.0,78.0
60,10.0,10.0,0.0,10.0,78.0
61,0.0,0.0,10.0,10.0,78.0
62,0.0,0.0,10.0,10.0,78.0
63,10.0,10.0,0.0,10.0,78.0
64,0.0,0.0,10.0,10.0,78.0
65,0.0,0.0,10.0,10.0,78.0
66,0.0,0.0,10.0,10.0,78.0
67,0.0,0.0,10.0,10.0,78.0
68,0.0,0.0,10.0,10.0,78.0
69,0.0,0.0,10.0,10.0,78.0
70,0.0,0.0,10.0,10.0,78.0
71,0.0,0.0,10.0,10.0,78.0
72,0.0,0.0,10.0,10.0,78.0
73,0.0,0.0,10.0,10.0,78.0
75,0.0,0.0,10.0,10.0,78.0
76,0.0,0.0,10.0,10.0,78.0
77,0.0,0.0,10.0,10.0,78.0
78,0.0,0.0,10.0,10.0,78.0
79,0.0,0.0,10.0,10.0,78.0
80,0.0,0.0,10.0,10.0,78.0
81,0.0,0.0,10.0,10.0,78.0
82,0.0,0.0,10.0,10.0,78.0
83,0.0,0.0,10.0,10.0,78.0
