elapsed_sec,pending,active,idle,max,acquire_max_ms
0,0.0,0.0,10.0,10.0,0.0
1,0.0,0.0,10.0,10.0,82.0
2,10.0,7.0,3.0,10.0,82.0
3,0.0,0.0,10.0,10.0,82.0
5,0.0,0.0,10.0,10.0,82.0
6,0.0,0.0,10.0,10.0,82.0
7,0.0,0.0,10.0,10.0,82.0
8,10.0,10.0,0.0,10.0,82.0
9,0.0,0.0,10.0,10.0,82.0
10,0.0,0.0,10.0,10.0,82.0
11,0.0,0.0,10.0,10.0,82.0
12,0.0,0.0,10.0,10.0,82.0
13,0.0,0.0,10.0,10.0,82.0
14,0.0,0.0,10.0,10.0,82.0
15,0.0,0.0,10.0,10.0,82.0
16,0.0,0.0,10.0,10.0,82.0
17,10.0,10.0,0.0,10.0,82.0
18,0.0,0.0,10.0,10.0,82.0
19,0.0,0.0,10.0,10.0,82.0
20,0.0,0.0,10.0,10.0,82.0
21,0.0,0.0,10.0,10.0,82.0
22,0.0,0.0,10.0,10.0,82.0
23,0.0,0.0,10.0,10.0,82.0
24,0.0,0.0,10.0,10.0,82.0
25,9.0,10.0,0.0,10.0,82.0
26,0.0,0.0,10.0,10.0,82.0
28,0.0,0.0,10.0,10.0,82.0
29,0.0,0.0,10.0,10.0,82.0
30,0.0,0.0,10.0,10.0,82.0
31,10.0,10.0,0.0,10.0,82.0
32,0.0,0.0,10.0,10.0,82.0
33,0.0,0.0,10.0,10.0,82.0
34,0.0,0.0,10.0,10.0,82.0
35,0.0,0.0,10.0,10.0,82.0
36,0.0,0.0,10.0,10.0,82.0
37,0.0,0.0,10.0,10.0,82.0
38,0.0,0.0,10.0,10.0,82.0
39,0.0,0.0,10.0,10.0,82.0
40,0.0,0.0,10.0,10.0,82.0
41,0.0,0.0,10.0,10.0,82.0
42,0.0,0.0,10.0,10.0,82.0
43,0.0,0.0,10.0,10.0,82.0
44,0.0,0.0,10.0,10.0,82.0
45,0.0,0.0,10.0,10.0,82.0
46,10.0,10.0,0.0,10.0,82.0
47,0.0,0.0,10.0,10.0,82.0
48,0.0,0.0,10.0,10.0,82.0
49,0.0,0.0,10.0,10.0,82.0
50,0.0,0.0,10.0,10.0,82.0
51,0.0,0.0,10.0,10.0,82.0
52,0.0,0.0,10.0,10.0,82.0
53,0.0,0.0,10.0,10.0,82.0
55,0.0,0.0,10.0,10.0,82.0
56,0.0,0.0,10.0,10.0,82.0
57,0.0,0.0,10.0,10.0,82.0
58,0.0,0.0,10.0,10.0,82.0
59,0.0,0.0,10.0,10.0,82.0
60,0.0,0.0,10.0,10.0,82.0
61,0.0,0.0,10.0,10.0,82.0
62,0.0,0.0,10.0,10.0,82.0
63,0.0,0.0,10.0,10.0,82.0
64,0.0,0.0,10.0,10.0,82.0
65,10.0,10.0,0.0,10.0,82.0
66,0.0,0.0,10.0,10.0,82.0
67,0.0,0.0,10.0,10.0,82.0
68,0.0,0.0,10.0,10.0,82.0
69,0.0,0.0,10.0,10.0,82.0
70,9.0,10.0,0.0,10.0,82.0
71,0.0,0.0,10.0,10.0,82.0
72,0.0,0.0,10.0,10.0,82.0
73,0.0,0.0,10.0,10.0,82.0
74,0.0,0.0,10.0,10.0,82.0
75,10.0,9.0,1.0,10.0,82.0
76,0.0,0.0,10.0,10.0,82.0
77,0.0,0.0,10.0,10.0,82.0
78,0.0,0.0,10.0,10.0,82.0
80,0.0,0.0,10.0,10.0,82.0
81,10.0,10.0,0.0,10.0,82.0
82,0.0,0.0,10.0,10.0,82.0
83,0.0,0.0,10.0,10.0,82.0
